"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",105,7.7,41.4,95,7,10,0.7
"2","K","Kröpeliner-Tor-Vorstadt",238,12.8,41,104,5.6,134,7.2
"3","Q","Dierkow-Ost",5,4.4,37,18,15.8,-13,-11.4
"4","D","Groß Klein",122,9.5,54.7,170,13.3,-48,-3.7
"5","T","Gehlsdorf",34,9,47,17,4.5,17,4.5
"6","H","Reutershagen",121,6.6,39.7,226,12.4,-105,-5.8
"7","G","Schmarl",83,10.9,60.9,53,7,30,3.9
"8","M","Biestow",13,4.4,26.9,24,8.1,-11,-3.7
"9","N","Stadtmitte",222,12.6,49,98,5.6,124,7
"10","S","Toitenwinkel",143,11.4,53.4,151,12,-8,-0.6
"11","O","Brinckmansdorf",53,6.5,35.2,73,9,-20,-2.5
"12","E","Lütten Klein",103,6.2,42,180,10.8,-77,-4.6
"13","I","Hansaviertel",95,11,50,61,7.1,34,4
"14","U","Rostock-Ost",10,8.1,41.7,4,3.2,6,4.9
"15","L","Südstadt",94,6.5,40,234,16.1,-140,-9.6
"16","F","Evershagen",156,9.5,53,188,11.5,-32,-2
"17","R","Dierkow-West",4,3.3,21.7,9,7.4,-5,-4.1
"18","P","Dierkow-Neu",104,10,48.4,67,6.5,37,3.6
"19","A","Warnemünde",44,5.4,41.4,120,14.7,-76,-9.3
"20","B","Rostock-Heide",9,5.8,41.3,15,9.7,-6,-3.9
"21","J","Gartenstadt-Stadtweide",27,8.2,46.5,38,11.6,-11,-3.4
