"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",125,9,52.6,83,6,42,3
"2","K","Kröpeliner-Tor-Vorstadt",255,13.2,44.2,116,6,139,7.2
"3","Q","Dierkow-Ost",7,6.2,56.9,11,9.7,-4,-3.5
"4","D","Groß Klein",126,9.8,57.3,180,13.9,-54,-4.2
"5","T","Gehlsdorf",22,5.7,34.3,21,5.4,1,0.3
"6","H","Reutershagen",130,7.3,44.8,242,13.5,-112,-6.3
"7","G","Schmarl",94,11.5,62.5,63,7.7,31,3.8
"8","M","Biestow",17,5.8,43.9,19,6.5,-2,-0.7
"9","N","Stadtmitte",218,12,49.2,136,7.5,82,4.5
"10","S","Toitenwinkel",135,10.2,51.6,159,12,-24,-1.8
"11","O","Brinckmansdorf",62,7.5,47.4,64,7.8,-2,-0.2
"12","E","Lütten Klein",102,6,41.4,232,13.6,-130,-7.6
"13","I","Hansaviertel",79,9.2,43.9,92,10.7,-13,-1.5
"14","U","Rostock-Ost",8,6.6,42.1,8,6.6,0,0
"15","L","Südstadt",89,6.1,39,212,14.6,-123,-8.5
"16","F","Evershagen",129,7.8,44.2,182,11,-53,-3.2
"17","R","Dierkow-West",5,4.2,34,13,10.9,-8,-6.7
"18","P","Dierkow-Neu",110,10.4,52.8,76,7.2,34,3.2
"19","A","Warnemünde",47,5.9,51.1,101,12.7,-54,-6.8
"20","B","Rostock-Heide",12,7.7,67.4,11,7,1,0.6
"21","J","Gartenstadt-Stadtweide",28,8.4,54.8,43,13,-15,-4.5
