"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",105,7.8,43.1,83,6.1,22,1.6
"2","K","Kröpeliner-Tor-Vorstadt",270,14.3,46.4,120,6.4,150,7.9
"3","Q","Dierkow-Ost",5,4.4,38.8,12,10.7,-7,-6.2
"4","D","Groß Klein",118,9.2,53.8,202,15.8,-84,-6.6
"5","T","Gehlsdorf",36,9.4,51.7,15,3.9,21,5.5
"6","H","Reutershagen",137,7.6,46,221,12.2,-84,-4.6
"7","G","Schmarl",69,8.8,50.1,50,6.4,19,2.4
"8","M","Biestow",13,4.4,28.9,22,7.4,-9,-3
"9","N","Stadtmitte",243,13.8,55,116,6.6,127,7.2
"10","S","Toitenwinkel",138,10.8,52.8,162,12.7,-24,-1.9
"11","O","Brinckmansdorf",49,6,34.3,67,8.2,-18,-2.2
"12","E","Lütten Klein",108,6.5,44.7,192,11.5,-84,-5
"13","I","Hansaviertel",95,11,51.2,72,8.3,23,2.7
"14","U","Rostock-Ost",8,6.6,37,8,6.6,0,0
"15","L","Südstadt",83,5.7,37,201,13.9,-118,-8.2
"16","F","Evershagen",136,8.3,47,191,11.7,-55,-3.4
"17","R","Dierkow-West",3,2.4,17.3,6,4.9,-3,-2.4
"18","P","Dierkow-Neu",115,11.1,54.5,80,7.7,35,3.4
"19","A","Warnemünde",34,4.2,34.1,103,12.7,-69,-8.5
"20","B","Rostock-Heide",3,1.9,14,15,9.6,-12,-7.7
"21","J","Gartenstadt-Stadtweide",24,7.3,44,42,12.8,-18,-5.5
