"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",122,8.5,53.3,106,7.4,16,1.1
"2","K","Kröpeliner-Tor-Vorstadt",266,13.7,46.4,125,6.4,141,7.3
"3","Q","Dierkow-Ost",5,4.6,48.5,15,13.9,-10,-9.3
"4","D","Groß Klein",125,9.3,58.4,230,17.2,-105,-7.8
"5","T","Gehlsdorf",46,10.3,65.7,28,6.3,18,4
"6","H","Reutershagen",145,8,48.1,232,12.8,-87,-4.8
"7","G","Schmarl",94,10.8,59,89,10.2,5,0.6
"8","M","Biestow",17,6.1,59.4,27,9.7,-10,-3.6
"9","N","Stadtmitte",287,14.5,62.1,225,11.4,62,3.1
"10","S","Toitenwinkel",144,10.4,55.4,170,12.2,-26,-1.9
"11","O","Brinckmansdorf",45,5.5,39.2,58,7.1,-13,-1.6
"12","E","Lütten Klein",132,7.7,53.7,283,16.6,-151,-8.8
"13","I","Hansaviertel",113,13.4,61.8,102,12.1,11,1.3
"14","U","Rostock-Ost",7,5.8,42.9,3,2.5,4,3.3
"15","L","Südstadt",111,7.4,44.7,245,16.3,-134,-8.9
"16","F","Evershagen",133,8,48.3,178,10.7,-45,-2.7
"17","R","Dierkow-West",5,4.4,45,7,6.1,-2,-1.7
"18","P","Dierkow-Neu",134,12.3,64.3,69,6.3,65,6
"19","A","Warnemünde",29,3.6,37.2,90,11.3,-61,-7.7
"20","B","Rostock-Heide",9,5.7,52,16,10.2,-7,-4.5
"21","J","Gartenstadt-Stadtweide",18,5.4,40.4,47,14.1,-29,-8.7
