"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",101,7.2,44.7,143,10.1,-42,-3
"2","K","Kröpeliner-Tor-Vorstadt",255,13,44.8,132,6.7,123,6.3
"3","Q","Dierkow-Ost",3,2.9,27.5,12,11.5,-9,-8.6
"4","D","Groß Klein",98,7.3,44.9,189,14,-91,-6.8
"5","T","Gehlsdorf",42,9.1,56.1,32,6.9,10,2.2
"6","H","Reutershagen",137,7.7,44.9,233,13.1,-96,-5.4
"7","G","Schmarl",80,9.1,49.1,89,10.2,-9,-1
"8","M","Biestow",10,3.7,38.6,32,11.9,-22,-8.2
"9","N","Stadtmitte",271,13.1,56.5,231,11.2,40,1.9
"10","S","Toitenwinkel",179,12.6,66.6,182,12.8,-3,-0.2
"11","O","Brinckmansdorf",51,6.1,44.1,84,10,-33,-3.9
"12","E","Lütten Klein",95,5.6,38.4,341,20.1,-246,-14.5
"13","I","Hansaviertel",109,13,57.7,97,11.5,12,1.4
"14","U","Rostock-Ost",10,8.1,56.8,14,11.3,-4,-3.2
"15","L","Südstadt",91,6.1,35.4,210,14.1,-119,-8
"16","F","Evershagen",123,7.3,43.3,208,12.3,-85,-5
"17","R","Dierkow-West",5,4.1,37.9,18,14.8,-13,-10.7
"18","P","Dierkow-Neu",105,9.6,49.4,88,8,17,1.6
"19","A","Warnemünde",40,4.8,49.8,109,13.1,-69,-8.3
"20","B","Rostock-Heide",8,5,47.9,20,12.6,-12,-7.6
"21","J","Gartenstadt-Stadtweide",18,5.5,41.3,48,14.8,-30,-9.2
