"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",129,9.5,54.5,95,7,34,2.5
"2","K","Kröpeliner-Tor-Vorstadt",232,12.2,40.2,110,5.8,122,6.4
"3","Q","Dierkow-Ost",8,7.1,65.6,8,7.1,0,0
"4","D","Groß Klein",118,9.2,53.9,185,14.4,-67,-5.2
"5","T","Gehlsdorf",30,7.8,46.4,27,7,3,0.8
"6","H","Reutershagen",145,8,48.7,237,13.1,-92,-5.1
"7","G","Schmarl",82,10.2,55.4,70,8.7,12,1.5
"8","M","Biestow",13,4.4,31.7,22,7.5,-9,-3.1
"9","N","Stadtmitte",234,13,52.9,132,7.4,102,5.7
"10","S","Toitenwinkel",142,10.9,54.8,157,12.1,-15,-1.2
"11","O","Brinckmansdorf",55,6.7,41.2,72,8.8,-17,-2.1
"12","E","Lütten Klein",109,6.5,44.5,196,11.6,-87,-5.2
"13","I","Hansaviertel",100,11.6,54.3,98,11.4,2,0.2
"14","U","Rostock-Ost",8,6.6,39.6,6,5,2,1.7
"15","L","Südstadt",80,5.5,35.8,201,13.9,-121,-8.4
"16","F","Evershagen",127,7.8,44,190,11.6,-63,-3.9
"17","R","Dierkow-West",11,9,70.1,8,6.6,3,2.5
"18","P","Dierkow-Neu",107,10.2,51.6,66,6.3,41,3.9
"19","A","Warnemünde",22,2.8,23.1,96,12,-74,-9.3
"20","B","Rostock-Heide",15,9.6,76.5,15,9.6,0,0
"21","J","Gartenstadt-Stadtweide",30,9,57.3,55,16.6,-25,-7.5
