"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",94,7,36.1,97,7.2,-3,-0.2
"2","K","Kröpeliner-Tor-Vorstadt",222,12.7,40.7,87,4.8,142,7.9
"3","Q","Dierkow-Ost",8,5.1,37.5,5,4.3,1,0.9
"4","D","Groß Klein",106,8.9,49.1,174,14,-63,-5.1
"5","T","Gehlsdorf",25,7.2,34.3,12,3.3,14,3.9
"6","H","Reutershagen",116,6.3,36.5,194,10.7,-80,-4.4
"7","G","Schmarl",58,8.1,45,63,8.3,-2,-0.3
"8","M","Biestow",14,4.3,24,16,5.3,-3,-1
"9","N","Stadtmitte",204,11.5,43.5,109,6.4,88,5.1
"10","S","Toitenwinkel",130,8.7,37.2,149,11.5,-36,-2.8
"11","O","Brinckmansdorf",43,7.1,33.5,47,5.8,11,1.3
"12","E","Lütten Klein",111,5.6,35.6,161,9.2,-63,-3.6
"13","I","Hansaviertel",80,10,45,62,7.2,24,2.8
"14","U","Rostock-Ost",7,5.9,27.3,7,5.9,0,0
"15","L","Südstadt",50,4.7,29,185,12.9,-118,-8.2
"16","F","Evershagen",113,7,38.2,165,10.3,-52,-3.2
"17","R","Dierkow-West",4,3.2,20,15,12.1,-11,-8.8
"18","P","Dierkow-Neu",101,10.2,45.5,75,7.2,32,3.1
"19","A","Warnemünde",35,4.2,28.9,106,12.6,-71,-8.5
"20","B","Rostock-Heide",17,4.4,27.9,10,6.3,-3,-1.9
"21","J","Gartenstadt-Stadtweide",19,8.1,41.3,34,10.2,-7,-2.1
