"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",117,8.3,50.5,101,7.2,16,1.1
"2","K","Kröpeliner-Tor-Vorstadt",277,14.3,48.7,113,5.8,164,8.5
"3","Q","Dierkow-Ost",7,6.4,66,9,8.3,-2,-1.8
"4","D","Groß Klein",138,10.5,65.8,186,14.1,-48,-3.6
"5","T","Gehlsdorf",68,15.5,96.3,24,5.5,44,10.1
"6","H","Reutershagen",164,9.1,55.2,251,13.9,-87,-4.8
"7","G","Schmarl",99,11.2,60.7,84,9.5,15,1.7
"8","M","Biestow",15,5.4,49.7,26,9.3,-11,-4
"9","N","Stadtmitte",305,15.6,66.4,197,10.1,108,5.5
"10","S","Toitenwinkel",130,9.4,50,155,11.3,-25,-1.8
"11","O","Brinckmansdorf",45,5.5,39.5,83,10.2,-38,-4.7
"12","E","Lütten Klein",137,8,56.3,277,16.2,-140,-8.2
"13","I","Hansaviertel",112,13.2,61.4,88,10.4,24,2.8
"14","U","Rostock-Ost",5,4.2,33.1,9,7.5,-4,-3.3
"15","L","Südstadt",123,8.3,51.5,262,17.7,-139,-9.4
"16","F","Evershagen",139,8.4,50,200,12.1,-61,-3.7
"17","R","Dierkow-West",1,0.9,9,9,7.8,-8,-6.9
"18","P","Dierkow-Neu",105,9.9,51.6,69,6.5,36,3.4
"19","A","Warnemünde",30,3.8,37.7,95,12.1,-65,-8.3
"20","B","Rostock-Heide",11,7,64,13,8.2,-2,-1.3
"21","J","Gartenstadt-Stadtweide",36,10.9,82.6,48,14.5,-12,-3.6
