"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",142,10,58,101,7.1,41,2.9
"2","K","Kröpeliner-Tor-Vorstadt",239,12.3,41.2,120,6.2,119,6.1
"3","Q","Dierkow-Ost",6,5.5,55.6,8,7.3,-2,-1.8
"4","D","Groß Klein",116,9,54.5,206,16,-90,-7
"5","T","Gehlsdorf",41,9.7,58.9,23,5.4,18,4.3
"6","H","Reutershagen",112,6.2,37.8,204,11.3,-92,-5.1
"7","G","Schmarl",91,10.8,57.8,68,8.1,23,2.7
"8","M","Biestow",12,4.2,33.7,17,6,-5,-1.8
"9","N","Stadtmitte",254,13.7,56.4,174,9.4,80,4.3
"10","S","Toitenwinkel",144,10.9,57.6,157,11.8,-13,-1
"11","O","Brinckmansdorf",50,6.1,43.2,81,9.9,-31,-3.8
"12","E","Lütten Klein",120,7.1,49.9,268,15.8,-148,-8.7
"13","I","Hansaviertel",97,11.4,53.3,103,12.1,-6,-0.7
"14","U","Rostock-Ost",10,8.5,62.9,8,6.8,2,1.7
"15","L","Südstadt",95,6.5,40.7,229,15.6,-134,-9.1
"16","F","Evershagen",125,7.5,44.6,195,11.8,-70,-4.2
"17","R","Dierkow-West",4,3.4,33.3,8,6.8,-4,-3.4
"18","P","Dierkow-Neu",106,10,51.4,101,9.5,5,0.5
"19","A","Warnemünde",34,4.3,39.2,103,13.1,-69,-8.8
"20","B","Rostock-Heide",11,7,64.7,14,9,-3,-1.9
"21","J","Gartenstadt-Stadtweide",22,6.7,48.4,47,14.3,-25,-7.6
