"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",127,9,54,80,5.7,47,3.3
"2","K","Kröpeliner-Tor-Vorstadt",270,14.1,47.2,104,5.4,166,8.7
"3","Q","Dierkow-Ost",6,5.5,57.1,10,9.2,-4,-3.7
"4","D","Groß Klein",116,9,55.2,188,14.5,-72,-5.6
"5","T","Gehlsdorf",41,9.5,58.6,24,5.6,17,3.9
"6","H","Reutershagen",153,8.4,51.3,215,11.9,-62,-3.4
"7","G","Schmarl",99,11.5,61.5,69,8,30,3.5
"8","M","Biestow",9,3.2,26.9,16,5.7,-7,-2.5
"9","N","Stadtmitte",247,13.1,54.2,166,8.8,81,4.3
"10","S","Toitenwinkel",154,11.5,60.7,150,11.2,4,0.3
"11","O","Brinckmansdorf",56,6.9,49.1,71,8.7,-15,-1.8
"12","E","Lütten Klein",110,6.5,46.4,241,14.2,-131,-7.7
"13","I","Hansaviertel",123,14.5,68.1,107,12.7,16,1.9
"14","U","Rostock-Ost",5,4.2,33.1,6,5.1,-1,-0.8
"15","L","Südstadt",96,6.5,41,229,15.6,-133,-9
"16","F","Evershagen",161,9.7,58.1,197,11.9,-36,-2.2
"17","R","Dierkow-West",6,5.2,53.6,5,4.4,1,0.9
"18","P","Dierkow-Neu",105,9.9,50.7,70,6.6,35,3.3
"19","A","Warnemünde",36,4.6,43.9,103,13.2,-67,-8.6
"20","B","Rostock-Heide",14,8.9,80.9,15,9.6,-1,-0.6
"21","J","Gartenstadt-Stadtweide",24,7.1,49.7,37,11,-13,-3.9
