"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",100,7.4,38.6,90,6.6,10,0.7
"2","K","Kröpeliner-Tor-Vorstadt",246,13.4,42.5,90,4.9,156,8.5
"3","Q","Dierkow-Ost",6,5.2,42,11,9.5,-5,-4.3
"4","D","Groß Klein",117,9.2,52.1,194,15.2,-77,-6
"5","T","Gehlsdorf",24,6.6,33,17,4.6,7,1.9
"6","H","Reutershagen",109,6,34.9,204,11.2,-95,-5.2
"7","G","Schmarl",72,9.5,52.6,45,6,27,3.6
"8","M","Biestow",17,5.7,32.9,21,7,-4,-1.3
"9","N","Stadtmitte",213,12.4,47.4,109,6.3,104,6.1
"10","S","Toitenwinkel",103,8,35.5,151,11.8,-48,-3.7
"11","O","Brinckmansdorf",48,5.8,29.6,53,6.5,-5,-0.6
"12","E","Lütten Klein",102,6,39.1,173,10.1,-71,-4.1
"13","I","Hansaviertel",84,9.7,42.6,71,8.2,13,1.5
"14","U","Rostock-Ost",6,5,23,4,3.3,2,1.7
"15","L","Südstadt",64,4.4,27.5,197,13.6,-133,-9.2
"16","F","Evershagen",107,6.6,35.9,179,11,-72,-4.4
"17","R","Dierkow-West",3,2.4,15.3,9,7.2,-6,-4.8
"18","P","Dierkow-Neu",106,10.3,49,67,6.5,39,3.8
"19","A","Warnemünde",40,4.8,34.2,101,12.1,-61,-7.3
"20","B","Rostock-Heide",13,8.1,52.2,13,8.1,0,0
"21","J","Gartenstadt-Stadtweide",22,6.7,35.9,51,15.6,-29,-8.9
