"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",94,6.9,35.5,94,6.9,0,0
"2","K","Kröpeliner-Tor-Vorstadt",222,12.6,39.8,87,4.9,135,7.6
"3","Q","Dierkow-Ost",8,6.7,46.2,17,14.3,-9,-7.6
"4","D","Groß Klein",106,8.7,47.3,164,13.5,-58,-4.8
"5","T","Gehlsdorf",25,7.1,31.6,14,4,11,3.1
"6","H","Reutershagen",116,6.4,37,223,12.3,-107,-5.9
"7","G","Schmarl",58,7.6,42.2,40,5.2,18,2.4
"8","M","Biestow",14,4.6,23.7,20,6.6,-6,-2
"9","N","Stadtmitte",204,12.4,46.6,91,5.5,113,6.8
"10","S","Toitenwinkel",130,9.8,40.2,128,9.7,2,0.2
"11","O","Brinckmansdorf",43,5.3,24.2,54,6.7,-11,-1.4
"12","E","Lütten Klein",111,6.3,38.4,181,10.3,-70,-4
"13","I","Hansaviertel",80,9.4,42.2,68,8,12,1.4
"14","U","Rostock-Ost",7,5.9,25.6,7,5.9,0,0
"15","L","Südstadt",50,3.5,22.3,174,12.1,-124,-8.7
"16","F","Evershagen",113,7.1,38.4,146,9.1,-33,-2.1
"17","R","Dierkow-West",4,3.1,18,11,8.6,-7,-5.5
"18","P","Dierkow-Neu",101,9.6,41,63,6,38,3.6
"19","A","Warnemünde",35,4.1,27.9,102,12.1,-67,-7.9
"20","B","Rostock-Heide",17,10.5,63.9,15,9.3,2,1.2
"21","J","Gartenstadt-Stadtweide",19,6,31,33,10.4,-14,-4.4
