"","stadtbereich_code","stadtbereich_bezeichnung","anzahl_lebendgeborene","lebendgeborene_je_1000","geburtenrate","anzahl_gestorbene","gestorbene_je_1000","geburten_sterbesaldo","geburten_sterbesaldo_je_1000"
"1","C","Lichtenhagen",125,8.7,55.4,136,9.5,-11,-0.8
"2","K","Kröpeliner-Tor-Vorstadt",254,13.1,44.9,108,5.6,146,7.5
"3","Q","Dierkow-Ost",6,5.7,62.5,13,12.3,-7,-6.6
"4","D","Groß Klein",130,9.6,59.5,194,14.4,-64,-4.7
"5","T","Gehlsdorf",71,15.2,96.2,34,7.3,37,7.9
"6","H","Reutershagen",147,8.2,48.7,243,13.5,-96,-5.3
"7","G","Schmarl",78,8.9,49.2,77,8.8,1,0.1
"8","M","Biestow",16,5.8,57.6,40,14.5,-24,-8.7
"9","N","Stadtmitte",282,14.1,61.4,211,10.6,71,3.6
"10","S","Toitenwinkel",193,13.8,74.1,155,11.1,38,2.7
"11","O","Brinckmansdorf",50,6,43.6,70,8.4,-20,-2.4
"12","E","Lütten Klein",132,7.7,52.8,259,15,-127,-7.4
"13","I","Hansaviertel",114,13.5,61,99,11.7,15,1.8
"14","U","Rostock-Ost",5,4.2,31.4,9,7.6,-4,-3.4
"15","L","Südstadt",99,6.6,39.8,222,14.8,-123,-8.2
"16","F","Evershagen",155,9.2,56.1,210,12.5,-55,-3.3
"17","R","Dierkow-West",5,4.4,45,14,12.3,-9,-7.9
"18","P","Dierkow-Neu",113,10.4,54.2,87,8,26,2.4
"19","A","Warnemünde",37,4.6,46.3,126,15.5,-89,-11
"20","B","Rostock-Heide",12,7.5,67.8,13,8.1,-1,-0.6
"21","J","Gartenstadt-Stadtweide",27,8.2,59,44,13.3,-17,-5.1
